dataset_file,tasks_count,distribution,objective,count_vm_1,count_vm_2,count_vm_3,count_vm_4,total_energy_consumption,simulation_time,all_vm_count,all_vm_mips,all_vm_cores,score,diff_energy_pct,diff_time_pct,diff_target_pct
17500_90_10.csv,17500,90/10,c,1,1,2,12,3.22,37.03,16,222000,60,2.105465,0.0,6.316394,0.0
17500_80_20.csv,17500,80/20,c,1,1,2,13,3.51,37.72,17,238000,64,2.881794,0.285714,8.359667,0.0
17500_70_30.csv,17500,70/30,c,1,1,1,15,3.83,38.28,18,258000,68,3.550506,0.524934,10.126582,0.0
17500_60_40.csv,17500,60/40,c,1,1,1,17,4.14,37.0,20,290000,76,3.313027,0.97561,6.26077,2.702703
17500_50_50.csv,17500,50/50,c,1,1,2,17,4.39,37.49,21,302000,80,3.441651,0.0,7.760851,2.564103
17500_40_60.csv,17500,40/60,c,1,1,2,18,4.69,38.17,22,318000,84,3.154574,0.0,9.463722,0.0
17500_30_70.csv,17500,30/70,c,1,1,1,20,4.98,38.34,23,338000,88,3.380255,0.0,10.140764,0.0
17500_20_80.csv,17500,20/80,c,1,1,1,21,5.34,39.29,24,354000,92,4.424316,0.564972,12.707975,0.0
17500_10_90.csv,17500,10/90,c,1,1,2,23,5.55,36.29,27,398000,104,4.135201,0.0,4.072268,8.333333
17500_0_100.csv,17500,0/100,c,1,1,1,24,5.87,38.11,27,402000,104,3.159015,0.34188,9.135166,0.0
20000_100_0.csv,20000,100/0,c,1,1,2,11,3.37,41.66,15,206000,56,1.575331,0.0,4.725993,0.0
20000_90_10.csv,20000,90/10,c,1,1,2,12,3.68,42.34,16,222000,60,2.118396,0.0,6.355187,0.0
20000_80_20.csv,20000,80/20,c,1,1,1,14,4.03,42.91,17,242000,64,2.640845,0.0,7.922535,0.0
20000_70_30.csv,20000,70/30,c,2,2,2,14,4.36,41.94,20,260000,72,2.727034,0.0,5.323958,2.857143
20000_60_40.csv,20000,60/40,c,1,1,1,17,4.7,41.93,20,290000,76,1.766282,0.0,5.298845,0.0
20000_50_50.csv,20000,50/50,c,1,1,2,17,4.99,42.64,21,302000,80,2.360623,0.0,7.081868,0.0
20000_40_60.csv,20000,40/60,c,1,1,2,18,5.3,43.09,22,318000,84,2.71921,0.0,8.157631,0.0
